name,domain_name,media_outlet_type,state,bias,active
Unspecified,None,Other,Unspecified,Unspecified,TRUE
Philadelphia Inquirer,inquirer.com,Local News Outlet,Pennsylvania,Center,TRUE
Boston Globe,bostonglobe.com,Local News Outlet,Massachusetts,Center,TRUE
Newsday,newsday.com,Local News Outlet,New York,Center,TRUE
New York Post,nypost.com,Local News Outlet,New York,Right,TRUE
Daily Kos,dailykos.com,Web Publication,Unspecified,Left,TRUE
CNN,cnn.com,Cable TV News,Unspecified,Center Left,TRUE
CBS News,cbsnews.com,Network TV News,Unspecified,Center,TRUE
Political Wire,politicalwire.com,Web Publication,Unspecified,Center,TRUE
Town Hall,townhall.com,Web Publication,Unspecified,Right,TRUE
Gateway Pundit,thegatewaypundit.com,Web Publication,Unspecified,Right,TRUE
Daily Caller,dailycaller.com,Web Publication,Unspecified,Right,TRUE
Red State,redstate.com,Web Publication,Unspecified,Right,TRUE
NPR,npr.org,Web Publication,Unspecified,Center Left,TRUE
Breitbart,breitbart.com,Web Publication,Unspecified,Right,TRUE
Alternet,alternet.org,Web Publication,Unspecified,Right,TRUE
Hot Air,hotair.com,Web Publication,Unspecified,Right,TRUE
PJ Media,pjmedia.com,Web Publication,Unspecified,Right,TRUE
ABC News ,abcnews.go.com,Network TV News,Unspecified,Center,TRUE
NBC News,nbcnews.com,Network TV News,Unspecified,Center,TRUE
USA Today,usatoday.com,Web Publication,Unspecified,Center,TRUE
Huffpost,huffpost.com,Web Publication,Unspecified,Center Left,TRUE
LA Times,latimes.com,Local News Outlet,California,Center,TRUE
Business Insider,businessinsider.com,Web Publication,Unspecified,Center,TRUE
The Atlantic,theatlantic.com,Opinion Journal,Unspecified,Center Left,TRUE
Patriot Post,patriotpost.us,Web Publication,Unspecified,Right,TRUE
BBC,bbc.com,National News Outlet,UK,Center,TRUE
Salon,salon.com,Web Publication,Unspecified,Left,TRUE
Vox,vox.com,Web Publication,Unspecified,Center Left,TRUE
The Week,theweek.com,Web Publication,Unspecified,Center,TRUE
Talking Points Memo,talkingpointsmemo.com,Web Publication,Unspecified,Left,TRUE
Time,time.com,National News Outlet,Unspecified,Center,TRUE
Chicago Tribune,chicagotribune.com,Local News Outlet,Illinois,Center,TRUE
Mercury News,mercurynews.com,Local News Outlet,California,Center,TRUE
Atlanta Journal-Constitution,ajc.com,Local News Outlet,Georgia,Center,TRUE
Dail Signal,dailysignal.com,Web Publication,Unspecified,Center,FALSE
Wired,wired.com,Web Publication,Unspecified,Center Left,TRUE
Inquisitr,inquisitr.com,Web Publication,Unspecified,Center,TRUE
Honolulu Star Advertiser,staradvertiser.com,Web Publication,Hawaii,Center,TRUE
The Conversation,theconversation.com,Web Publication,Unspecified,Right,TRUE
NJ.com,nj.com,Web Publication,New Jersey,Center,TRUE
National Catholic Reporter,ncronline.org,Web Publication,Unspecified,Center,TRUE
Mother Jones,motherjones.com,Opinion Journal,Unspecified,Left,TRUE
Benzinga,benzinga.com,Web Publication,Unspecified,Center,TRUE
UPI,upi.com,Web Publication,Unspecified,Center,TRUE
AP News,apnews.com,Web Publication,Unspecified,Center,TRUE
Gizmodo,gizmodo.com,Web Publication,Unspecified,Center,TRUE
The Arkansas Democrat,arkansasonline.com,Local News Outlet,Arkansas,Center,TRUE
OANN,oann.com,Cable TV News,Unspecified,Center,TRUE
New York Daily News,nydailynews.com,Local News Outlet,New York,Center,TRUE
The Wrap,thewrap.com,Web Publication,Unspecified,Center,TRUE
Orlando Sentinel,orlandosentinel.com,Local News Outlet,Florida,Center,TRUE
Baltimore Sun,baltimoresun.com,Local News Outlet,Maryland,Center,TRUE
The Verge,theverge.com,Web Publication,Unspecified,Center,TRUE
The Nation,thenation.com,Opinion Journal,Unspecified,Left,TRUE
Roll Call,rollcall.com,Opinion Journal,Unspecified,Center,TRUE
New York Times,nytimes.com,National News Outlet,Unspecified,Center,TRUE
Minnesota Start Tribune,startribune.com,Local News Outlet,Minnesota,Center,TRUE
Slate,slate.com,Web Publication,Unspecified,Left,TRUE
Christian Science Monitor,csmonitor.com,Local News Outlet,Unspecified,Center,TRUE
Cleveland.com,cleveland.com,Web Publication,Ohio,Center,TRUE
Kennebec Journal,centralmaine.com,Local News Outlet,Maine,Center,TRUE
The Daily Dot,dailydot.com,Web Publication,Unspecified,Center,TRUE
Greenfield Recorder,recorder.com,Web Publication,Unspecified,Center,TRUE
Orange Count Register,ocregister.com,Local News Outlet,California,Center,TRUE
The Berkshire Eagle,berkshireeagle.com,Local News Outlet,Massachusetts,Center,TRUE
OpEd News ,opednews.com,Web Publication,Unspecified,Left,TRUE
Orlando Sun Sentinel,sun-sentinel.com,Local News Outlet,Florida,Center,TRUE
Vanity Fair,vanityfair.com,Web Publication,Unspecified,Center,TRUE
Milwaukee Journal Sentinel,jsonline.com,Local News Outlet,Wisconsin,Center,TRUE
Chicago Sun-Times,suntimes.com,Local News Outlet,Illinois,Center,TRUE
The American Spectator,spectator.org,Local News Outlet,UK,Right,TRUE
Fox News,foxnews.com,Cable TV News,Unspecified,Right,TRUE
The Independent,independent.co.uk,Local News Outlet,UK,Center Left,TRUE
